subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230373, 2, 138, 2, 1, 8, 0, 1626 
1230373, 2, 139, 1, 1, 4, 0, 1171 
1230373, 2, 140, 2, 1, 16, 0, 1307 
1230373, 2, 141, 1, 1, 4, 0, 716 
1230373, 2, 142, 2, 2, 16, 0, 976 
1230373, 2, 143, 1, 1, 8, 0, 1076 
1230373, 2, 144, 1, 1, 8, 0, 964 
1230373, 2, 145, 1, 2, 16, 0, 689 
1230373, 2, 146, 1, 2, 8, 0, 690 
1230373, 2, 147, 1, 2, 4, 0, 590 
1230373, 2, 148, 1, 2, 4, 0, 646 
1230373, 2, 149, 2, 2, 4, 0, 816 
1230373, 2, 150, 1, 1, 8, 0, 1698 
1230373, 2, 151, 2, 2, 8, 0, 772 
1230373, 2, 152, 1, 2, 8, 0, 723 
1230373, 2, 153, 1, 2, 16, 0, 865 
1230373, 2, 154, 2, 2, 8, 0, 674 
1230373, 2, 155, 2, 1, 8, 0, 1107 
1230373, 2, 156, 1, 2, 8, 0, 756 
1230373, 2, 157, 1, 2, 8, 0, 661 
1230373, 2, 158, 1, 1, 4, 0, 885 
1230373, 2, 159, 2, 2, 4, 0, 720 
1230373, 2, 160, 1, 1, 8, 0, 1320 
1230373, 2, 161, 2, 2, 8, 0, 688 
1230373, 2, 162, 2, 1, 8, 0, 1173 
1230373, 2, 163, 2, 2, 8, 1, 808 
1230373, 2, 164, 1, 1, 8, 0, 811 
1230373, 2, 165, 2, 1, 8, 0, 792 
1230373, 2, 166, 2, 1, 4, 0, 956 
1230373, 2, 167, 2, 2, 16, 0, 793 
1230373, 2, 168, 2, 1, 16, 0, 849 
1230373, 2, 169, 1, 1, 8, 1, 716 
1230373, 2, 170, 2, 2, 16, 0, 636 
1230373, 2, 171, 2, 1, 8, 0, 1118 
1230373, 2, 172, 1, 1, 4, 1, 748 
1230373, 2, 173, 1, 1, 4, 0, 849 
1230373, 2, 174, 1, 2, 16, 0, 723 
1230373, 2, 175, 1, 2, 4, 0, 571 
1230373, 2, 176, 2, 1, 4, 0, 801 
1230373, 2, 177, 2, 2, 4, 0, 836 
1230373, 2, 178, 2, 1, 4, 0, 884 
1230373, 2, 179, 2, 2, 4, 0, 1589 
1230373, 2, 180, 1, 1, 4, 0, 931 
1230373, 2, 181, 2, 2, 4, 0, 800 
1230373, 2, 182, 2, 1, 8, 0, 1188 
1230373, 2, 183, 1, 1, 4, 0, 867 
1230373, 2, 184, 2, 2, 16, 0, 594 
1230373, 2, 185, 1, 1, 8, 0, 1760 
1230373, 2, 186, 2, 1, 4, 0, 844 
1230373, 2, 187, 2, 2, 16, 1, 788 
1230373, 2, 188, 1, 1, 16, 0, 1084 
1230373, 2, 189, 2, 2, 16, 0, 595 
1230373, 2, 190, 2, 2, 4, 0, 660 
1230373, 2, 191, 2, 1, 8, 0, 1073 
1230373, 2, 192, 2, 1, 4, 0, 722 
1230373, 2, 193, 2, 1, 16, 0, 1295 
1230373, 2, 194, 2, 1, 4, 0, 699 
1230373, 2, 195, 2, 2, 4, 0, 740 
1230373, 2, 196, 2, 2, 8, 0, 578 
1230373, 2, 197, 2, 2, 16, 0, 607 
1230373, 2, 198, 1, 1, 16, 0, 1026 
1230373, 2, 199, 2, 1, 16, 0, 1155 
1230373, 2, 200, 1, 2, 16, 0, 789 
1230373, 2, 201, 1, 2, 8, 0, 690 
1230373, 2, 202, 1, 1, 16, 0, 899 
1230373, 2, 203, 2, 1, 4, 0, 740 
1230373, 2, 204, 1, 2, 16, 0, 691 
1230373, 2, 205, 1, 1, 4, 0, 1204 
1230373, 2, 206, 1, 2, 16, 0, 594 
1230373, 2, 207, 1, 1, 16, 0, 1216 
1230373, 2, 208, 2, 2, 4, 0, 707 
1230373, 2, 209, 2, 1, 8, 0, 1139 
1230373, 2, 210, 1, 2, 8, 0, 724 
1230373, 2, 211, 2, 1, 4, 0, 658 
1230373, 2, 212, 2, 1, 4, 0, 581 
1230373, 2, 213, 2, 2, 16, 0, 781 
1230373, 2, 214, 1, 1, 16, 1, 733 
1230373, 2, 215, 1, 1, 4, 1, 965 
1230373, 2, 216, 1, 1, 16, 0, 1209 
1230373, 2, 217, 1, 1, 8, 1, 1553 
1230373, 2, 218, 2, 1, 4, 0, 1033 
1230373, 2, 219, 2, 2, 8, 0, 832 
1230373, 2, 220, 2, 2, 4, 0, 532 
1230373, 2, 221, 1, 1, 8, 0, 1303 
1230373, 2, 222, 1, 1, 4, 0, 1105 
1230373, 2, 223, 1, 1, 16, 0, 1349 
1230373, 2, 224, 1, 1, 8, 0, 996 
1230373, 2, 225, 2, 2, 4, 0, 626 
1230373, 2, 226, 1, 2, 8, 0, 899 
1230373, 2, 227, 2, 2, 16, 0, 620 
1230373, 2, 228, 1, 2, 8, 0, 833 
1230373, 2, 229, 2, 2, 8, 0, 563 
1230373, 2, 230, 1, 2, 16, 0, 799 
1230373, 2, 231, 2, 2, 8, 0, 645 
1230373, 2, 232, 1, 1, 4, 0, 651 
1230373, 2, 233, 2, 1, 8, 1, 712 
1230373, 2, 234, 2, 1, 4, 0, 800 
1230373, 2, 235, 2, 2, 4, 0, 724 
1230373, 2, 236, 1, 2, 8, 0, 846 
1230373, 2, 237, 1, 1, 8, 0, 1011 
1230373, 2, 238, 1, 1, 16, 0, 900 
1230373, 2, 239, 1, 2, 16, 1, 580 
1230373, 2, 240, 2, 2, 4, 0, 677 

1230373, 1, 1, 1, 2, 16, 0, 3249 
1230373, 1, 2, 1, 1, 16, 1, 399 
1230373, 1, 3, 1, 2, 16, 0, 69 
1230373, 1, 4, 2, 2, 4, 1, 12 
1230373, 1, 5, 2, 1, 4, 0, 711 

1230373, 1, 1, 1, 1, 4, 3, 0 
1230373, 1, 2, 1, 2, 8, 0, 571 
1230373, 1, 3, 2, 1, 16, 1, 0 
1230373, 1, 4, 1, 1, 16, 0, 868 

1230373, 1, 1, 1, 1, 16, 0, 990 
1230373, 1, 2, 2, 1, 4, 1, 505 
1230373, 1, 3, 2, 1, 8, 1, 0 

1230373, 1, 1, 1, 2, 8, 0, 1005 
1230373, 1, 2, 2, 2, 16, 1, 2985 
1230373, 1, 3, 1, 1, 4, 0, 1272 
1230373, 1, 4, 2, 1, 8, 0, 1207 

1230373, 1, 1, 1, 1, 8, 0, 1063 
1230373, 1, 2, 1, 2, 8, 0, 612 
1230373, 1, 3, 2, 2, 8, 1, 1098 

1230373, 1, 1, 1, 1, 16, 0, 2232 
1230373, 1, 2, 1, 2, 8, 0, 325 


1230373, 1, 1, 1, 1, 4, 1, 17 
1230373, 1, 2, 2, 1, 16, 0, 87 
1230373, 1, 3, 2, 1, 8, 0, 0 
1230373, 1, 4, 2, 2, 8, 0, 0 
1230373, 1, 5, 1, 1, 4, 1, 1 
1230373, 1, 6, 1, 1, 4, 1, 0 
1230373, 1, 7, 1, 2, 4, 1, 0 
1230373, 1, 8, 1, 2, 8, 1, 291 
1230373, 1, 9, 2, 1, 16, 0, 67 
1230373, 1, 10, 2, 1, 16, 0, 364 
1230373, 1, 11, 1, 1, 4, 1, 334 
1230373, 1, 12, 1, 1, 8, 1, 569 
1230373, 2, 1, 2, 1, 16, 1, 772 
1230373, 2, 2, 1, 1, 4, 0, 807 
1230373, 2, 3, 1, 2, 4, 0, 789 
1230373, 2, 4, 1, 2, 4, 0, 591 
1230373, 2, 5, 1, 1, 4, 0, 850 
1230373, 2, 6, 2, 1, 16, 0, 2192 
1230373, 2, 7, 2, 1, 8, 0, 1010 
1230373, 2, 8, 2, 2, 4, 0, 747 
1230373, 2, 9, 2, 1, 8, 0, 1326 
1230373, 2, 10, 1, 1, 4, 0, 867 
1230373, 2, 11, 2, 1, 16, 0, 1220 
1230373, 2, 12, 2, 1, 4, 0, 879 
1230373, 2, 13, 1, 2, 16, 0, 1043 
1230373, 2, 14, 2, 1, 4, 0, 869 
1230373, 2, 15, 2, 2, 4, 0, 755 
1230373, 2, 16, 2, 1, 16, 0, 1514 
1230373, 2, 17, 2, 2, 4, 0, 736 
1230373, 2, 18, 1, 2, 16, 0, 787 
1230373, 2, 19, 2, 2, 4, 0, 644 
1230373, 2, 20, 2, 1, 4, 0, 788 
