subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230394, 2, 136, 1, 1, 8, 0, 1208 
1230394, 2, 137, 1, 2, 8, 0, 776 
1230394, 2, 138, 2, 1, 16, 0, 685 
1230394, 2, 139, 2, 2, 8, 0, 549 
1230394, 2, 140, 2, 1, 4, 0, 683 
1230394, 2, 141, 1, 2, 8, 0, 552 
1230394, 2, 142, 2, 2, 8, 0, 667 
1230394, 2, 143, 1, 1, 8, 1, 652 
1230394, 2, 144, 1, 2, 8, 0, 630 
1230394, 2, 145, 1, 1, 16, 0, 738 
1230394, 2, 146, 2, 2, 4, 0, 663 
1230394, 2, 147, 1, 1, 8, 0, 665 
1230394, 2, 148, 2, 2, 8, 0, 582 
1230394, 2, 149, 1, 1, 4, 0, 536 
1230394, 2, 150, 2, 1, 4, 0, 665 
1230394, 2, 151, 1, 1, 4, 0, 618 
1230394, 2, 152, 2, 2, 16, 0, 671 
1230394, 2, 153, 1, 2, 4, 0, 516 
1230394, 2, 154, 2, 1, 4, 0, 618 
1230394, 2, 155, 1, 2, 4, 0, 556 
1230394, 2, 156, 1, 1, 8, 1, 553 
1230394, 2, 157, 1, 1, 4, 0, 547 
1230394, 2, 158, 1, 2, 16, 0, 524 
1230394, 2, 159, 1, 1, 4, 0, 741 
1230394, 2, 160, 1, 1, 16, 1, 663 
1230394, 2, 161, 2, 2, 16, 0, 642 
1230394, 2, 162, 2, 1, 4, 0, 665 
1230394, 2, 163, 2, 2, 16, 1, 630 
1230394, 2, 164, 2, 2, 16, 0, 613 
1230394, 2, 165, 2, 1, 16, 0, 759 
1230394, 2, 166, 2, 2, 8, 0, 561 
1230394, 2, 167, 2, 2, 4, 0, 594 
1230394, 2, 168, 2, 1, 16, 0, 1384 
1230394, 2, 169, 2, 2, 8, 0, 758 
1230394, 2, 170, 1, 2, 4, 1, 570 
1230394, 2, 171, 2, 1, 8, 0, 780 
1230394, 2, 172, 2, 2, 16, 0, 614 
1230394, 2, 173, 2, 1, 8, 0, 756 
1230394, 2, 174, 1, 2, 8, 0, 600 
1230394, 2, 175, 2, 2, 4, 0, 795 
1230394, 2, 176, 1, 2, 16, 0, 767 
1230394, 2, 177, 1, 2, 8, 0, 679 
1230394, 2, 178, 1, 2, 4, 0, 677 
1230394, 2, 179, 1, 2, 8, 0, 554 
1230394, 2, 180, 2, 2, 16, 0, 597 
1230394, 2, 181, 1, 1, 16, 0, 1368 
1230394, 2, 182, 2, 1, 8, 0, 666 
1230394, 2, 183, 1, 1, 4, 0, 577 
1230394, 2, 184, 2, 1, 16, 0, 785 
1230394, 2, 185, 1, 2, 8, 0, 588 
1230394, 2, 186, 2, 2, 4, 1, 599 
1230394, 2, 187, 2, 1, 8, 0, 1033 
1230394, 2, 188, 1, 1, 16, 0, 729 
1230394, 2, 189, 2, 1, 8, 0, 1001 
1230394, 2, 190, 1, 2, 4, 0, 601 
1230394, 2, 191, 1, 2, 16, 0, 571 
1230394, 2, 192, 1, 1, 8, 1, 582 
1230394, 2, 193, 1, 2, 8, 0, 536 
1230394, 2, 194, 2, 1, 4, 0, 667 
1230394, 2, 195, 1, 1, 4, 0, 629 
1230394, 2, 196, 1, 2, 4, 0, 1049 
1230394, 2, 197, 2, 2, 16, 0, 662 
1230394, 2, 198, 2, 2, 16, 0, 537 
1230394, 2, 199, 1, 2, 8, 0, 611 
1230394, 2, 200, 1, 1, 4, 0, 679 
1230394, 2, 201, 2, 1, 4, 0, 605 
1230394, 2, 202, 2, 2, 4, 0, 699 
1230394, 2, 203, 2, 2, 8, 0, 567 
1230394, 2, 204, 1, 2, 16, 0, 552 
1230394, 2, 205, 1, 2, 8, 0, 552 
1230394, 2, 206, 1, 2, 16, 0, 656 
1230394, 2, 207, 2, 2, 8, 0, 782 
1230394, 2, 208, 2, 1, 8, 0, 610 
1230394, 2, 209, 1, 2, 4, 0, 615 
1230394, 2, 210, 1, 1, 8, 0, 967 
1230394, 2, 211, 1, 1, 16, 1, 726 
1230394, 2, 212, 2, 2, 8, 0, 588 
1230394, 2, 213, 2, 2, 4, 1, 597 
1230394, 2, 214, 2, 2, 16, 0, 587 
1230394, 2, 215, 2, 1, 4, 0, 585 
1230394, 2, 216, 1, 1, 16, 0, 792 
1230394, 2, 217, 2, 1, 16, 0, 740 
