MSG	11436071 TRIAL 10 START
MSG	11438186 DRIFTCORRECT L REPEATING due to large error
MSG	11441394 DRIFTCORRECT L LEFT  at 960,540  OFFSET 1.25 deg.  20.9,-40.0 pix.
MSG	11442152 RECCFG P 500 2 1 
MSG	11442152 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11442153 !MODE RECORD P 500 2 1
START	11442154 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11442968	  961.5	  601.7	  397.0	.
11442970	  961.6	  601.5	  396.0	.
11442972	  961.5	  601.3	  397.0	.
11442974	  961.3	  602.2	  398.0	.
11442976	  961.1	  601.8	  401.0	.
11442978	  960.9	  601.4	  401.0	.
11442980	  960.6	  601.9	  402.0	.
11442982	  960.7	  601.0	  402.0	.
11442984	  960.6	  600.1	  402.0	.
11442986	  959.0	  599.6	  400.0	.
11442988	  959.0	  599.4	  399.0	.
11442990	  959.2	  599.5	  399.0	.
11442992	  959.0	  599.5	  398.0	.
11442994	  958.9	  599.8	  397.0	.
11442996	  959.2	  599.9	  395.0	.
11442998	  958.8	  599.9	  394.0	.
11443000	  959.5	  599.5	  392.0	.
11443002	  960.4	  599.9	  392.0	.
11443004	  960.5	  600.0	  392.0	.
11443006	  960.8	  600.1	  391.0	.
11443008	  961.4	  600.7	  391.0	.
11443010	  961.7	  600.8	  391.0	.
11443012	  961.8	  600.5	  391.0	.
11443014	  961.8	  601.2	  391.0	.
11443016	  962.1	  601.0	  391.0	.
11443018	  961.7	  601.0	  391.0	.
11443020	  961.3	  599.3	  390.0	.
11443022	  961.2	  599.1	  390.0	.
11443024	  961.0	  598.9	  390.0	.
11443026	  960.6	  596.9	  388.0	.
11443028	  960.2	  598.2	  386.0	.
11443030	  960.6	  598.6	  386.0	.
11443032	  960.9	  598.3	  386.0	.
11443034	  961.1	  599.2	  386.0	.
11443036	  960.9	  599.1	  388.0	.
11443038	  960.6	  599.0	  388.0	.
11443040	  961.5	  598.9	  388.0	.
11443042	  961.8	  598.8	  387.0	.
11443044	  962.1	  597.1	  387.0	.
11443046	  962.7	  597.4	  388.0	.
11443048	  963.0	  597.6	  388.0	.
11443050	  962.7	  597.2	  388.0	.
11443052	  963.1	  598.1	  386.0	.
11443054	  963.4	  598.0	  385.0	.
11443056	  963.5	  597.8	  385.0	.
11443058	  963.5	  597.7	  385.0	.
11443060	  963.2	  597.9	  385.0	.
11443062	  963.2	  597.4	  385.0	.
11443064	  963.3	  599.3	  386.0	.
11443066	  963.7	  601.3	  387.0	.
11443068	  963.4	  600.0	  387.0	.
11443070	  963.9	  600.3	  387.0	.
11443072	  964.0	  600.3	  388.0	.
11443074	  963.9	  600.4	  388.0	.
11443076	  964.5	  600.4	  388.0	.
11443078	  964.3	  600.6	  388.0	.
11443080	  964.3	  600.5	  388.0	.
11443082	  964.3	  601.3	  388.0	.
11443084	  964.4	  599.2	  388.0	.
11443086	  964.5	  597.3	  388.0	.
11443088	  965.3	  598.2	  379.0	.
11443090	  965.4	  597.4	  379.0	.
11443092	  965.7	  597.9	  379.0	.
11443094	  965.2	  597.1	  378.0	.
11443096	  965.3	  596.2	  379.0	.
11443098	  965.3	  596.4	  379.0	.
11443100	  965.4	  596.5	  379.0	.
11443102	  965.0	  596.8	  379.0	.
11443104	  964.9	  597.3	  378.0	.
11443106	  964.7	  597.4	  377.0	.
